area_type,area,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female
district,Perlis,-7825.0,-10107.0,-12334.0,-19413.0,-16043.0,-11051.0,-10120.0,-9866.0,-12675.0,-5664.0,-5994.0,-6272.0,-5016.0,-4111.0,-2881.0,-1577.0,-933.0,-463.0,7349.0,9283.0,11373.0,17652.0,16280.0,9809.0,9491.0,9453.0,13248.0,7424.0,6530.0,6719.0,5508.0,5204.0,3150.0,1880.0,1291.0,896.0
district,Gombak,-82263.0,-54040.0,-42861.0,-35693.0,-27094.0,-31316.0,-50351.0,-51257.0,-38889.0,-28107.0,-16178.0,-16281.0,-6652.0,-5269.0,-3236.0,-1367.0,-627.0,-307.0,77964.0,51462.0,39013.0,31382.0,27671.0,32580.0,46042.0,44364.0,35206.0,21762.0,14163.0,11243.0,6602.0,5517.0,3087.0,1321.0,775.0,458.0
district,Klang,-49405.0,-60914.0,-50411.0,-40359.0,-33966.0,-53939.0,-71273.0,-70339.0,-48938.0,-35218.0,-22140.0,-21474.0,-12951.0,-10136.0,-5353.0,-2322.0,-1102.0,-493.0,49320.0,58634.0,43622.0,36016.0,27471.0,41784.0,51578.0,52538.0,39893.0,27028.0,19774.0,18705.0,12758.0,9699.0,4916.0,2395.0,1362.0,716.0
district,Kuala Langat,-12390.0,-16996.0,-12730.0,-12226.0,-11402.0,-14661.0,-16319.0,-16036.0,-11902.0,-11642.0,-7282.0,-8398.0,-3817.0,-2674.0,-1436.0,-914.0,-354.0,-181.0,12408.0,16351.0,11685.0,12016.0,9506.0,12118.0,15513.0,14715.0,10995.0,8880.0,6596.0,6497.0,3494.0,2307.0,1481.0,797.0,462.0,268.0
district,Kuala Selangor,-12543.0,-15732.0,-13415.0,-11218.0,-11279.0,-11492.0,-13718.0,-15198.0,-10362.0,-8148.0,-5842.0,-5266.0,-4444.0,-2613.0,-1619.0,-677.0,-336.0,-171.0,13079.0,14919.0,12463.0,10544.0,14062.0,9975.0,12346.0,13696.0,9190.0,7300.0,5538.0,4819.0,3822.0,2644.0,1659.0,775.0,498.0,309.0
district,Petaling,-111578.0,-134665.0,-93062.0,-68828.0,-77266.0,-124838.0,-148018.0,-153434.0,-104151.0,-75613.0,-38967.0,-35375.0,-21196.0,-16466.0,-9769.0,-4645.0,-2369.0,-1280.0,120310.0,125078.0,81242.0,60403.0,70070.0,103233.0,123762.0,122936.0,84875.0,56573.0,35731.0,32745.0,22299.0,16608.0,10057.0,5193.0,3292.0,2203.0
district,Sabak Bernam,-4040.0,-5185.0,-4533.0,-5093.0,-5297.0,-4058.0,-4229.0,-3877.0,-3135.0,-3392.0,-3198.0,-3244.0,-2343.0,-1704.0,-1221.0,-686.0,-361.0,-210.0,3871.0,4965.0,4151.0,4717.0,4003.0,3089.0,3407.0,3333.0,3039.0,3176.0,3277.0,3017.0,2249.0,1829.0,1413.0,847.0,515.0,353.0
district,Sepang,-13952.0,-15650.0,-12545.0,-11337.0,-13267.0,-18731.0,-23445.0,-21405.0,-14757.0,-11242.0,-5845.0,-5173.0,-3328.0,-1951.0,-990.0,-417.0,-373.0,-168.0,14227.0,15180.0,11660.0,9955.0,9149.0,16790.0,18830.0,17058.0,12224.0,8787.0,4846.0,4975.0,2854.0,2018.0,1064.0,454.0,385.0,212.0
district,Ulu Langat,-70398.0,-72406.0,-55359.0,-51830.0,-49664.0,-78502.0,-97740.0,-82837.0,-54250.0,-44239.0,-27209.0,-25011.0,-14245.0,-10086.0,-4447.0,-2046.0,-906.0,-399.0,73616.0,67841.0,50419.0,45631.0,48735.0,70165.0,77273.0,66426.0,47422.0,33526.0,24669.0,22180.0,13567.0,9045.0,4170.0,2124.0,1312.0,766.0
district,Ulu Selangor,-11451.0,-13601.0,-11362.0,-10358.0,-9139.0,-12825.0,-13965.0,-12369.0,-9082.0,-6649.0,-4867.0,-5185.0,-3420.0,-2618.0,-1220.0,-614.0,-458.0,-142.0,11760.0,12503.0,9736.0,8762.0,7077.0,10210.0,12136.0,10610.0,7470.0,5563.0,4892.0,5041.0,3290.0,2232.0,1199.0,729.0,354.0,140.0
