UMUR_KSH,NEGERI_SEMASA,DAERAH_SEMASA,STRATA_SEMASA,JANTINA,KSH_PAKAIAN,KSH_PERUMAHAN,KSH_BRG_THN_LAMA,KSH_PENGANGKUTAN,KSH_LAIN_LAIN,KSH_MAKANAN_TOTAL,KSH_INDIVIDU_MIN,KSH_INDIVIDU_MAX,KSH_INDIVIDU_MEAN,DI_MIN,DI_MAX,DI_MEAN,DI_BANTUAN_MIN,DI_BANTUAN_MAX,DI_BANTUAN_MEAN,DI_BERSIH_MIN,DI_BERSIH_MAX,DI_BERSIH_MEAN,DI_BERSIH_BANTUAN_MIN,DI_BERSIH_BANTUAN_MAX,DI_BERSIH_BANTUAN_MEAN,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0401,01,2,38.35,544.29,46.95,112,230.58,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0401,02,1,35.25,125.11,21.57,119.82,139.23,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0401,02,2,35.25,125.11,21.57,119.82,139.23,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0402,01,1,38.35,544.29,46.95,112,230.58,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0402,01,2,38.35,544.29,46.95,112,230.58,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0402,02,1,35.25,125.11,21.57,119.82,139.23,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0402,02,2,35.25,125.11,21.57,119.82,139.23,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0403,01,1,38.35,544.29,46.95,112,230.58,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0403,01,2,38.35,544.29,46.95,112,230.58,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,05,0501,02,1,26.36,214.5,18.77,100.76,202.79,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,05,0501,02,2,26.36,214.5,18.77,100.76,202.79,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,05,0502,01,1,32.21,584.22,30.75,105.59,242.73,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,05,0502,01,2,32.21,584.22,30.75,105.59,242.73,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,05,0502,02,1,26.36,214.5,18.77,100.76,202.79,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,05,0502,02,2,26.36,214.5,18.77,100.76,202.79,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,05,0503,01,1,32.21,584.22,30.75,105.59,242.73,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
