date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-08-28,06:00:00,Sabah,Lahad Datu,5.03,118.34,25.7,95,0.0,1.6,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,06:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,23.2,95,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,06:00:00,Perak,Ipoh,4.6,101.07,24.2,91,0.1,3.9,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,06:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,25.9,89,0.1,5.0,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,06:00:00,Pulau Pinang,George Town,5.4145,100.3292,25.9,89,0.1,5.0,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,06:00:00,Perak,Taiping,4.85,100.7333,24.6,94,0.1,6.9,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,06:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,24.5,80,0.0,1.8,3,Clouds generally forming or developing
2024-08-28,06:00:00,Pahang,Raub,3.7931,101.8569,24.3,79,0.0,2.3,3,Clouds generally forming or developing
2024-08-28,06:00:00,Pahang,Kuala Lipis,4.184,102.042,23.8,93,0.0,3.1,3,Clouds generally forming or developing
2024-08-28,06:00:00,Johor,Muar,2.05,102.56,26.7,82,0.0,11.7,3,Clouds generally forming or developing
2024-08-28,06:00:00,Sabah,Tawau,4.2448,117.8911,26.3,90,0.0,5.1,3,Clouds generally forming or developing
2024-08-28,06:00:00,Selangor,Petaling Jaya,3.1073,101.6067,23.9,87,0.0,3.3,3,Clouds generally forming or developing
2024-08-28,06:00:00,Pahang,Kuantan,3.8167,103.3333,26.0,90,0.0,14.0,3,Clouds generally forming or developing
2024-08-28,06:00:00,Terengganu,Cukai,4.2332,103.4479,26.1,86,0.0,8.9,3,Clouds generally forming or developing
2024-08-28,06:00:00,Kedah,Sungai Petani,5.65,100.48,24.7,95,0.0,3.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,06:00:00,Perak,Teluk Intan,4.0259,101.0213,23.9,97,0.0,5.9,3,Clouds generally forming or developing
