district_mukim,avg_floorsm,rental_2021,rental_2022,location,types,source
Cendana Condominium,204.0,6000,6000,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Cengal Condominium,85.0,1500,1500,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Danau Idaman,87.0,1700 - 1800,1700 - 1800,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Danau Impian Condominium,85.0,1400 - 1650,1400 - 1650,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Danau Murni Condominium,67.0,950 - 1500,950 - 1500,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Danau Permai Condominium,64.0,1700 - 2600,1700 - 2600,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Desa Sri Hartamas,155.0,7000 - 9100,7000 - 9100,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Desarina Condominium,124.0,1600 - 2200,1600 - 2200,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Faber Heihgts,112.0,1600,1600,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Faber Indah Condominium,150.0,1600 - 2300,1600 - 2300,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Kerinchi Residensi,84.0,1500 - 1800,1500 - 1800,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Ketumbar Heights,83.0,1000 - 1300,1000 - 1300,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Laman Midah,76.0,1250,1250,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Lumayan Apartment,77.0,1300,1300,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Menara Bangsar Condominium,149.0,3000 - 3800,3000 - 3800,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Midfields 2,109.0,1500 - 2000,1500 - 2000,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Midfields Sungai Besi Condominium,100.0,1500 - 2000,1500 - 2000,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Pangsapuri Lestari,76.0,1100 - 1400,1100 - 1400,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Pantai Hillpark,97.0,1700 - 2500,1700 - 2500,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Pantai Panorama,120.0,2500 - 3200,2500 - 3200,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Prisma Cheras Condominium,66.0,1400 - 1600,1400 - 1600,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Prisma Perdana Apartment,77.0,1000 - 1400,1000 - 1400,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Puncak Prima Condominium,92.0,2300 - 2800,2300 - 2800,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Seri Puteri Condominium,105.0,1800 - 2200,1800 - 2200,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Sinaran TTDI Condominium,153.0,3300,3300,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Sri Penaga Condominium,228.0,4000 - 4800,4000 - 4800,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Suasana Lumayan,106.0,1400 - 1700,1400 - 1700,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Sunway Vivaldi,370.0,11000 - 12000,11000 - 12000,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
The Park Residence,178.0,3600 - 7000,3600 - 7000,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Tiara Faber Condominium,116.0,1550 - 2100,1550 - 2100,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Tivoli Villas,224.0,2800 - 3000,2800 - 3000,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Vista Tasik Condominium,100.0,1200 - 1300,1200 - 1300,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
Vistaria Residensi Condominium,135.0,2300,2300,Mukim Kuala Lumpur,APARTMENT/ CONDOMINIUM,2022/WP KL
1 Sentul Condominium,124.0,2500,2500,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
100 Residensi,134.0,3000 - 3200,3000 - 3200,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
288 Residency,131.0,1800 - 2500,1800 - 2500,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
3 Resident Melawati,130.0,1900 - 2000,1900 - 2000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Alpha Villa Apartment,99.0,1400 - 1700,1400 - 1700,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Apartment Sentul,84.0,,1100,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Desa Putra,116.0,1800 -3000,1800 -3000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Desa View Tower,98.0,1100 - 1400,1100 - 1400,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Desa Villas,138.0,1700,1700,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Fera Residence,77.0,1600,1600,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Genting Court,59.0,950,950,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Idaman Puteri,133.0,1500 -2100,1500 -2100,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Idaman Sutera,79.0,1000 - 1600,1000 - 1600,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Indah Apartment,75.0,1100,1100,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Irama Wangsa ,112.0,2300 - 2400,2300 - 2600,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Infiniti 3 Residences,210.0,2000,2000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Kl Traders ,84.0,2000,2000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Langkawi Apartment,100.0,980,980,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Lexa Residence,79.0,1700,1700,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Maxim City Lights @ Sentul KL,80.0,1250 - 1500,1250 - 1500,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
,94.0,1600 - 2000,1600 - 2000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Medan Mega Melati (M3) Residency,101.0,1600,1600,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Pangsapuri Bayu Sentul,127.0,1500 - 1600,1500 - 1600,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Pelangi Condominium,86.0,1500 - 1700,1500 - 1700,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Platinum Hill Condominium PV3,118.0,1500 -1800,1500 -1800,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Platinum Hill Condominium PV6,123.0,2000 - 2500,2000 - 2500,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Platinum Hill Condominium PV8,144.0,2300,2300,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Platinum Lake Condominium PV10,118.0,1500 - 2200,1500 - 2200,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Platinum Lake Condominium PV12,122.0,1800 - 2100,1800 - 2100,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Platinum Lake Condominium PV15,122.0,1800 - 2700,1800 - 2700,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Platinum Lake Condominium PV16,122.0,1750 - 1900,1750 - 1900,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Prima Setapak 2 Condominium,133.0,1600 - 2000,1600 - 2000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
PV13 Platinum Hill Condominium,122.0,1800 - 2400,1800 - 2400,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
PV2 Platinum Hill Condominium,139.0,2050 - 2800,2050 - 2800,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
PV5 Condominium,124.0,1700 - 2500,1700 - 2500,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Rampai Court Apartment,55.0,1500,1500,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Residensi Ascenda,102.0,1500 - 1800,1500 - 1800,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Residensi Platinum Teratai,86.0,1200 - 1300,1200 - 1300,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Residensi Setiawangsa,112.0,1900 - 2000,1900 - 2000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Riana Green East KL,153.0,2300 - 2500,2300 - 2500,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Seri Riana,128.0,2600 - 3200,2600 - 3200,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Setapak Green,126.0,1800 - 2000,1800 - 2000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Setapak Ria,96.0,1250,1250,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Season Garden,70.0,2000,2000,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Sri Kinabalu,96.0,1500,1500,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Sri Lojing,138.0,1650,1650,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
The Veo,133.0,1600,1600,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Villa Wangsamas Condominium,118.0,1800 -  3100,1800 -  3100,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
Wangsa Metroview,107.0,1300 -1800,1300 -1800,Mukim Setapak,APARTMENT/ CONDOMINIUM,2022/WP KL
1 Petaling,78.0,,1000 - 1200,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
8 Petaling,100.0,2500,2500 - 3000,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
288 Residence,113.0,,1800,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Altitude 236,120.0,,2300 - 2500,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Angkasa Condominium,86.0,1650 - 1900,1650 - 1900,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Anyaman Residence,103.0,1200 - 1900,1200 - 1900,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Arena Green,76.0,1250 - 1500,1250 - 1500,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Avenue Apartment,86.0,1100 - 1350,1100 - 1350,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Bukit OUG Condominium,72.0,1300 - 1450,1300 - 1500,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Casa Green Bukit Jalil,113.0,1000,1000,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Condominium Sri Istana,121.0,1800,1800,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
De Tropicana Condominium,99.0,1200 - 1350,1200 - 1350,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Desa Gembira Condominium,119.0,1800 - 2100,1800 - 2100,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Endah Regal,106.0,1300 - 2000,1300 - 2000,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Green Avenue,101.0,1600 - 2200,1600 - 2200,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Greenfield Apartment,92.0,1100 - 1300,1100 - 1300,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Jalil Damai Apartment,101.0,1250 - 1500,1250 - 1500,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Kiara Residence 2 Bukit Jalil,96.0,1500 - 2150,1500 - 2150,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Kinrara Mas Apartment,114.0,1350 -1600,1350 -1600,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Kuchai Entrepreneurs Park,66.0,1150 - 1200,1150 - 1200,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Le Yuan Residence,131.0,1850 - 2600,1850 - 2600,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Manda'Rina Court Apartment,72.0,900 - 1200,900 - 1200,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Nidoz Residences,113.0,1800,1800,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Petaling Indah,83.0,1100 - 1200,1100 - 1200,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Petalz Residence,78.0,1600,1600,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Pinnacle Sri Petaling,70.0,1200 - 2200,1200 - 2200,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Puncak Banyan,75.0,1050 - 1600,1050 - 1600,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Residensi Parkhill,102.0,2200,2200,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Residensi Riverville,113.0,1600,1600,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Residensi Skyluxe,102.0,2300,2300,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Residensi Vyne Sungai Besi,103.0,1400 - 1800,1400 - 1800,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Savanna Bukit Jalil Condominium,113.0,2800,2800,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Sri Desa Condominium,103.0,1600 - 1750,1600 - 1750,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Sri Sentosa Apartment,80.0,1000,1000,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
The Havre Residence,95.0,1400 - 1800,1400 - 1800,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
The Park Sky Residence,86.0,2500,2500,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
The Park 2 Residences,146.0,1800,1800,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
The Rainz,78.0,2500 - 3300,2500 - 3300,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
The Treez Jalil Residence,158.0,4500 - 5000,4500 - 5000,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
The Z Residence,115.0,1800 - 2050,1800 - 2350,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Tiara Mutiara Condominium,82.0,1300 - 2200,1300 - 2200,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Trinity Aquata,157.0,1700,1700 - 1900,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Vista Komanwel,114.0,1700 - 2400,1700 - 2400,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Waltz Residences,88.0,2000 - 2100,2000 - 2300,Mukim Petaling,APARTMENT/ CONDOMINIUM,2022/WP KL
Ampang 971 Condominium,166.0,2900,2900,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
Bam Villas,109.0,1400 - 2000,1400 - 2000,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
Casa Ria,139.0,1500,1500,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
G Residence,131.0,2500 - 4000,2500 - 4000,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
GCB Court,110.0,1600 - 1900,1600 - 1900,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
Menara Polo,138.0,2200 - 2500,2200 - 2500,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
Mutiara Upper East Condominium,193.0,4000 - 4500,4000 - 4500,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
Residensi Pandanmas 2,90.0,1350,1350,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
The Elements,77.0,1700 - 3200,1700 - 3200,Mukim Ampang,APARTMENT/ CONDOMINIUM,2022/WP KL
Kiara Green,125.0,2300,2300,Mukim Kuala Lumpur,TOWNHOUSE,2022/WP KL
Taman Sri Hartamas,137.0,1800 - 2200,1800 - 2200,Mukim Kuala Lumpur,TOWNHOUSE,2022/WP KL
Sunway SPK 3 Harmoni,217.0,3000 - 3300,3000 - 3300,Mukim Batu,TOWNHOUSE,2022/WP KL
Villa Mas Townhouse,192.0,1500 - 1600,1500 - 1600,Mukim Batu,TOWNHOUSE,2022/WP KL
Sunway Montana,250.0,4000,4000,Mukim Setapak,TOWNHOUSE,2022/WP KL
Bukit OUG Townhouse,110.0,1750 - 1800,1750 - 1800,Mukim Petaling,TOWNHOUSE,2022/WP KL
 Perumahan MPL Batu Arang,58.0,900 - 1000,900 - 1000,SINGLE STOREY TERRACE - LOW COST,SINGLE STOREY TERRACE - LOW COST,2022/WP LABUAN
 Perumahan MPL Layang - Layangan,53.0,750 - 900,750 - 900,SINGLE STOREY TERRACE - LOW COST,SINGLE STOREY TERRACE - LOW COST,2022/WP LABUAN
 Lazenda Villa 5,107.0,1000 - 1300,1000 - 1300,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 SEC Durian Tunjung,98.0,800 - 1250,800 - 1250,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 SEC Rancha - Rancha,71.0,900 - 1300,900 - 1300,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman Arena 2,84.0,1850,1850,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman En Su,88.0,750 - 1200,750 - 1200,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman Ganggarak,97.0,1800 - 2000,1800 - 2000,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman Guan Huat 2,94.0,800 - 1150,800 - 1150,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman Kawan - Kawan,95.0,900 - 1300,900 - 1300,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman Kian Yap,90.0,850 - 1000,850 - 1000,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman Lazenda Villa 6,72.0,1500,1500,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman Miramar,90.0,900 - 1200,900 - 1200,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
 Taman Su Jin,85.0,800 - 900,800 - 900,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP LABUAN
Lazenda Villa 5,154.0,1100 - 1500,1100 - 1500,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Perumahan MPL Layang - Layangan,98.0,900 - 1200,900 - 1200,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
SEC Rancha - Rancha,98.0,1300 - 1700,1300 - 1700,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Arena ,176.0,1500 - 1800,1500 - 1800,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman En Su,128.0,1200 - 1400,1200 - 1400,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Fulliwa,115.0,1700 - 1850,1700 - 1850,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Impian,163.0,1800,1800,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Kerupang 1 (Taman Chin En Su),132.0,950 - 1150,950 - 1150,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Lazenda Miniville,228.0,1900,1900,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Mahkota Impian ,115.0,1550 - 2300,1600 - 2300,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Miramar,137.0,2300,2300,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Rancha - Rancha Fasa 1,94.0,1100,1100,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Sea View,112.0,1300 - 1500,1300 - 1500,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Wong Wo Lo 1,129.0,1800 - 2000,1800 - 2000,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Wong Wo Lo 2,130.0,1400 - 1600,1400 - 1600,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Ganggarak Permai Phase 3,93.0,,1500,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman Jasa,165.0,,1500,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP LABUAN
Taman En Su,110.0,950 - 1100,950 - 1100,SINGLE STOREY SEMI-DETACH,SINGLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Su Jin,117.0,950 - 1100,950 - 1100,SINGLE STOREY SEMI-DETACH,SINGLE STOREY SEMI-DETACH,2022/WP LABUAN
Lazenda Villa 1,189.0,1600,1600,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Lazenda Villa 10,202.0,2000 - 2100,2000 - 2100,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Lazenda Villa 2,153.0,1550,1550,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Perumahan SEC Airport Housing,179.0,1150,1150,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
SEC Durian Tunjung,158.0,1500 - 1800,1500 - 1800,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Batu Manikar,159.0,1300,1300,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Chiong Soon,210.0,3000,3000,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Fulliwa,167.0,3500,3500,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Hilltop,180.0,2000 - 2500,2000 - 2500,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Lazenda Palm Villa,182.0,3000,3000,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Lazenda Villa 10,320.0,,2300 - 2600,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Lazenda Villa 11 & 11A,208.0,,2000,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Lazenda Villa 12,161.0,2200,2200,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Lazenda Villa 2,136.0,2500,2500,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Lazenda Villa 7,182.0,3000,3000,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Sintee,207.0,1300 - 1500,1300 - 1500,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Sutera,160.0,2000,2000,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Sutera 1,210.0,1600 - 1800,1600 - 1800,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Wong Wo Lo 2,150.0,1400 - 1600,1300 - 1600,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Pantai Avenue,209.0,3000,3000,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Danta Ria,205.0,,1500,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
Taman Jasa,154.0,,1800,DOUBLE STOREY SEMI-DETACH,DOUBLE STOREY SEMI-DETACH,2022/WP LABUAN
 KPD Bedaun,88.0,1300,1300,SINGLE STOREY DETACH,SINGLE STOREY DETACH,2022/WP LABUAN
