Store,Address,State,Latitude,Longitude
BS SUPERMART SDN BHD (BT7),"NO 300-306 LOT 703 (BLK 2), BLOCK 17, KCLD, KOTA SENTOSA (UNIT 4-10 BLOCK 2 GROUND FLOOR) LOT 640, JALAN TAPANG, K/S COMMERCIAL CENTRE 93250 KOTA SENTOSA SARAWAK",SARAWAK,1.469816,110.3315929
FRESH HUB (GELANG PATAH),"NO.7,9,11,13 & 15 JALAN NUSARIA 3 TAMAN NUSANTARA 79200 ISKANDAR PUTERI JOHOR",JOHOR,1.4701181,103.5827327
DOREMART KUCHING KOTA SENTOSA,"GROUND FLOOR, LOT 1958-1964, BLOCK 233 KNID, NO.208-215 PEKAN BATU 7 (KOTA SENTOSA) 93250 KUCHING SARAWAK",SARAWAK,1.4705057,110.3306576
H&L RETAIL SDN BHD (7TH MILE),"LOT 3243 - 3247, BLK A, LVL 1 NGEE FAH THEATRE BUILDING 7TH MILE, JLN PENRISSEN 93250 KUCHING SARAWAK",SARAWAK,1.4706295,110.3317455
NAHMEE TRADING (M) SDN BHD - KOTA SENTOSA,"GR, FL, SL 5-6 BLOCK 18, JALAN TAPANG KOTA SENTOSA, COMM CENTRE 93250 KUCHING SARAWAK",SARAWAK,1.47068,110.33055
99 SPEEDMART SDN BHD (TMN DENAI NUSANTARA) - 2400,"NO: 36 & 38 (GROUND FLOOR), JALAN DENAI 1 TAMAN DENAI NUSANTARA 81550 GELANG PATAH JOHOR",JOHOR,1.4707135,103.5836036
MY MIX MART SDN. BHD. (TMN NUSANTARA),"NO 28, 30 & 32, JALAN NUSARIA 1 J/1, TAMAN NUSANTARA 81550 GELANG PATAH JOHOR",JOHOR,1.4716025,103.5841264
KHJ FRESH MARKET SDN BHD (TMN PASIR PUTIH),"19, JALAN SIAKAP 3/1, TAMAN PASIR PUTIH 81700 PASIR GUDANG JOHOR",JOHOR,1.472386,103.9319528
LOTUSS (BUKIT INDAH),"NO. 1, JALAN INDAH 15 BUKIT INDAH 81200 JOHOR BHARU JOHOR",JOHOR,1.473143,103.649543
KANA HARAPAN JAYA TRADING SDN BHD (TMN PASIR PUTIH),"73 & 75, JALAN ASLI 17, TAMAN PASIR PUTIH 81700 PASIR GUDANG JOHOR",JOHOR,1.4748952,103.9308607
GS MART (NUSANTARA),NO 20 & 22 & 24 JALAN NUSARIA 11/4 TAMAN NUSANTARA 79200 ISKANDAR PUTERI JOHOR,JOHOR,1.4751727,103.5834427
ECONSAVE CASH & CARRY (JEB) SDN BHD (PEKAN NANAS),LOT 2665 & 2666 MUKIM JERAM BATU 81500 PEKAN NANAS JOHOR,JOHOR,1.475179,103.514327
RED MART SDN BHD,"30,32,34,36, JALAN TEMBIKAI 8 TAMAN KOTA MASAI 81700 PASIR GUDANG JOHOR",JOHOR,1.4754897,103.9558233
GS MART (KOTA EMAS),NO 9-G & 10 JALAN EMAS 2 PUSAT PERDAGANGAN KOTA EMAS 82000 PONTIAN JOHOR,JOHOR,1.4761619,103.39899
99 SPEEDMART SDN BHD (TAMAN PELANGI 2) - 2676,NO: 51 & 53 (GROUND FLOOR) JALAN KUNING TAMAN PELANGI 80400 JOHOR BAHRU JOHOR,JOHOR,1.4764541,103.769198
TARGET SUPERMARKET SDN BHD (PONTIAN),"NO 7, JALAN EMAS 4 PUSAT PERNIAGAAN KOTA EMAS 82000 PONTIAN JOHOR",JOHOR,1.4771418,103.3987102
ECONSAVE CASH & CARRY (PT) SDN BHD (PONTIAN),"NO 23 JALAN KOTA EMAS 2, OFF TAMAN KOTA EMAS, JALAN JOHOR KANAN, 82000 PONTIAN JOHOR",JOHOR,1.4771418,103.3987102
99 SPEEDMART SDN BHD (TMN PERLING JB 2 ) - 2279,"NO: 6 & 8 (GROUND FLOOR), JALAN PERSISIRAN PERLING, TAMAN PERLING, 81200 SKUDAI JOHOR",JOHOR,1.4775662,103.6732194
99 SPEEDMART SDN BHD (TMN SIERRA PERDANA 1) - 2176,"NO: 53 & 55 (GROUND FLOOR), JALAN SIERRA PERDANA 2/1 TAMAN SIERRA PERDANA KAMPUNG MASJID LAMA 81750 MASAI JOHOR",JOHOR,1.4785333,103.8726544
KK SUPER MART (PASIR GUDANG),"NO.23, JALAN SEJAMBAK 14, TAMAN BUKIT DAHLIA 81700 PASIR GUDANG JOHOR",JOHOR,1.4788155,103.8937695
